GET / - [26/Nov/2024:18:31:46 +0000] - - ms localhost
GET /users 200 [26/Nov/2024:18:33:36 +0000] - 18.049 ms localhost
GET /@vite/client 304 [26/Nov/2024:18:33:36 +0000] - 9.174 ms localhost
GET /styles.css 200 [26/Nov/2024:18:33:36 +0000] - 4.419 ms localhost
GET /polyfills.js 304 [26/Nov/2024:18:33:36 +0000] - 4.377 ms localhost
GET /main.js 200 [26/Nov/2024:18:33:36 +0000] - 15.704 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [26/Nov/2024:18:33:36 +0000] - 4.100 ms localhost
GET /favicon.ico 304 [26/Nov/2024:18:33:38 +0000] - 3.505 ms localhost
GET /login 200 [26/Nov/2024:18:34:19 +0000] - 7.890 ms localhost
GET / - [26/Nov/2024:18:34:19 +0000] - - ms localhost
GET /@vite/client 304 [26/Nov/2024:18:34:20 +0000] - 5.686 ms localhost
GET /styles.css 200 [26/Nov/2024:18:34:20 +0000] - 9.436 ms localhost
GET /main.js 200 [26/Nov/2024:18:34:20 +0000] - 7.499 ms localhost
GET /polyfills.js 304 [26/Nov/2024:18:34:20 +0000] - 11.779 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [26/Nov/2024:18:34:20 +0000] - 3.313 ms localhost
GET /favicon.ico 304 [26/Nov/2024:18:34:20 +0000] - 3.365 ms localhost
POST /user/login 200 [26/Nov/2024:18:34:33 +0000] - 419.188 ms localhost
GET /user/users 304 [26/Nov/2024:18:34:37 +0000] - 27.434 ms localhost
GET / - [26/Nov/2024:18:38:20 +0000] - - ms localhost
GET /users 200 [26/Nov/2024:18:38:22 +0000] - 9.279 ms localhost
GET /@vite/client 304 [26/Nov/2024:18:38:22 +0000] - 3.105 ms localhost
GET /styles.css 200 [26/Nov/2024:18:38:22 +0000] - 2.499 ms localhost
GET /polyfills.js 304 [26/Nov/2024:18:38:22 +0000] - 3.707 ms localhost
GET /main.js 200 [26/Nov/2024:18:38:22 +0000] - 6.952 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [26/Nov/2024:18:38:22 +0000] - 5.986 ms localhost
GET /favicon.ico 304 [26/Nov/2024:18:38:23 +0000] - 5.213 ms localhost
POST /user/login 200 [26/Nov/2024:18:38:40 +0000] - 303.456 ms localhost
GET /user/users 304 [26/Nov/2024:18:38:43 +0000] - 24.100 ms localhost
GET /user/users 401 [26/Nov/2024:18:40:05 +0000] - 17.687 ms localhost
GET /user/refreshToken 304 [26/Nov/2024:18:40:05 +0000] - 6.693 ms localhost
GET /user/users 304 [26/Nov/2024:18:40:05 +0000] - 13.215 ms localhost
GET /users 200 [26/Nov/2024:18:40:08 +0000] - 43.211 ms localhost
GET / - [26/Nov/2024:18:40:08 +0000] - - ms localhost
GET /@vite/client 304 [26/Nov/2024:18:40:08 +0000] - 4.329 ms localhost
GET /styles.css 200 [26/Nov/2024:18:40:08 +0000] - 5.230 ms localhost
GET /polyfills.js 304 [26/Nov/2024:18:40:08 +0000] - 8.573 ms localhost
GET /main.js 200 [26/Nov/2024:18:40:08 +0000] - 8.636 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [26/Nov/2024:18:40:08 +0000] - 2.880 ms localhost
GET /favicon.ico 304 [26/Nov/2024:18:40:09 +0000] - 4.408 ms localhost
POST /user/login 200 [26/Nov/2024:18:40:21 +0000] - 156.430 ms localhost
GET /user/users 304 [26/Nov/2024:18:40:29 +0000] - 16.356 ms localhost
GET /media/fontawesome-webfont.woff2?v=4.7.0 200 [26/Nov/2024:18:40:29 +0000] - 3.491 ms localhost
GET /user/users 304 [26/Nov/2024:18:41:08 +0000] - 22.085 ms localhost
GET / - [26/Nov/2024:18:44:09 +0000] - - ms localhost
GET /users 500 [26/Nov/2024:18:48:56 +0000] - 131.650 ms localhost
GET /@vite/client 304 [26/Nov/2024:18:48:56 +0000] - 3.534 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [26/Nov/2024:18:48:56 +0000] - 2.771 ms localhost
GET /favicon.ico 304 [26/Nov/2024:18:48:56 +0000] - 5.473 ms localhost
GET / - [26/Nov/2024:18:52:56 +0000] - - ms localhost
GET /users 200 [26/Nov/2024:18:53:29 +0000] - 65.840 ms localhost
GET /@vite/client 304 [26/Nov/2024:18:53:29 +0000] - 3.215 ms localhost
GET /styles.css 200 [26/Nov/2024:18:53:29 +0000] - 6.435 ms localhost
GET /polyfills.js 304 [26/Nov/2024:18:53:29 +0000] - 2.264 ms localhost
GET /main.js 200 [26/Nov/2024:18:53:29 +0000] - 4.924 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [26/Nov/2024:18:53:29 +0000] - 2.565 ms localhost
GET /favicon.ico 304 [26/Nov/2024:18:53:30 +0000] - 4.971 ms localhost
GET /login 200 [26/Nov/2024:18:53:41 +0000] - 5.633 ms localhost
GET / - [26/Nov/2024:18:53:41 +0000] - - ms localhost
GET /@vite/client 304 [26/Nov/2024:18:53:41 +0000] - 3.213 ms localhost
GET /styles.css 200 [26/Nov/2024:18:53:41 +0000] - 5.747 ms localhost
GET /polyfills.js 304 [26/Nov/2024:18:53:41 +0000] - 7.639 ms localhost
GET /main.js 304 [26/Nov/2024:18:53:41 +0000] - 9.134 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [26/Nov/2024:18:53:41 +0000] - 2.411 ms localhost
GET /favicon.ico 304 [26/Nov/2024:18:53:41 +0000] - 3.559 ms localhost
POST /user/login 200 [26/Nov/2024:18:53:50 +0000] - 486.004 ms localhost
GET /user/users 304 [26/Nov/2024:18:53:53 +0000] - 48.142 ms localhost
GET /media/fontawesome-webfont.woff2?v=4.7.0 200 [26/Nov/2024:18:53:53 +0000] - 8.672 ms localhost
GET /user/users 304 [26/Nov/2024:18:54:18 +0000] - 27.284 ms localhost
GET /users 200 [26/Nov/2024:18:54:20 +0000] - 12.446 ms localhost
GET / - [26/Nov/2024:18:54:20 +0000] - - ms localhost
