
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [09/Jan/2025:18:33:57 +0000] - 177.181 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/rxjs.js.map 304 [09/Jan/2025:18:33:57 +0000] - 160.894 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [09/Jan/2025:18:33:57 +0000] - 73.012 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common.js.map 304 [09/Jan/2025:18:33:57 +0000] - 39.568 ms localhost
GET /login.component.css.map 200 [09/Jan/2025:18:33:57 +0000] - 10.437 ms localhost
POST /user/login 200 [09/Jan/2025:18:34:04 +0000] - 170.254 ms localhost
GET /layout.component.css.map 200 [09/Jan/2025:18:34:04 +0000] - 2.887 ms localhost
GET /dashboard.component.css.map 200 [09/Jan/2025:18:34:04 +0000] - 4.166 ms localhost
GET /user-services.component.css.map 200 [09/Jan/2025:18:34:08 +0000] - 2.980 ms localhost
GET /service/services?isApproved=true 304 [09/Jan/2025:18:34:08 +0000] - 65.187 ms localhost
GET /service/uploads/ 400 [09/Jan/2025:18:34:08 +0000] - 48.250 ms localhost
GET /service/name/Event%20Coverage 200 [09/Jan/2025:18:34:10 +0000] - 39.547 ms localhost
GET /service/uploads/1735019370508_videographyimage.jpg 304 [09/Jan/2025:18:34:10 +0000] - 86.594 ms localhost
GET /user-service-details.component.css.map 200 [09/Jan/2025:18:34:10 +0000] - 3.392 ms localhost
GET /service/uploads/1735019370509_videographyimage.jpg 304 [09/Jan/2025:18:34:10 +0000] - 53.028 ms localhost
GET /service/uploads/1735019370511_preweddingshoot.jpeg 304 [09/Jan/2025:18:34:10 +0000] - 36.148 ms localhost
GET /booking/service/Event%20Coverage/673ac7d8306657184e800578 304 [09/Jan/2025:18:34:12 +0000] - 56.828 ms localhost
GET /services/details 200 [09/Jan/2025:18:36:05 +0000] - 5.910 ms localhost
