GET / - [07/Jan/2025:18:38:03 +0000] - - ms localhost
GET /services/details?data=%5B%7B%22_id%22:%22676a49d65f3e79805ff156c1%22,%22name%22:%22Decor%22,%22img%22:%221736073037702_artifitial%20decor3.jpg%22,%22events%22:%5B%22Marriage%22,%22Engagement%22,%22Birthday%22%5D,%22provider%22:%22673ac7d8306657184e800578%22,%22choices%22:%5B%7B%22choiceName%22:%22Natural%20Materials%22,%22choiceType%22:%22%22,%22choicePrice%22:10000,%22choiceImg%22:%221736073037708_natural%20decor1.jpg%22,%22_id%22:%22676a49d65f3e79805ff156c2%22%7D,%7B%22choiceName%22:%22Artificial%20Materials%22,%22choiceType%22:%22%22,%22choicePrice%22:10000,%22choiceImg%22:%221735018966975_artifitial%20decor.webp%22,%22_id%22:%22676a49d65f3e79805ff156c3%22%7D%5D,%22isApproved%22:true,%22isActive%22:true,%22createdAt%22:%222024-12-24T05:42:47.009Z%22,%22updatedAt%22:%222025-01-05T10:30:37.854Z%22,%22__v%22:0%7D%5D&service=Decor 200 [07/Jan/2025:18:41:41 +0000] - 110.385 ms localhost
GET /@vite/client 304 [07/Jan/2025:18:41:41 +0000] - 5.634 ms localhost
GET /styles.css 200 [07/Jan/2025:18:41:42 +0000] - 23.796 ms localhost
GET /polyfills.js 304 [07/Jan/2025:18:41:42 +0000] - 32.097 ms localhost
GET /main.js 200 [07/Jan/2025:18:41:42 +0000] - 274.606 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [07/Jan/2025:18:41:42 +0000] - 145.234 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [07/Jan/2025:18:41:49 +0000] - 9.715 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-SD63G7YN.js.map 304 [07/Jan/2025:18:41:49 +0000] - 10.252 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-J2M542RS.js.map 304 [07/Jan/2025:18:41:49 +0000] - 19.056 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PLMZ7O3F.js.map 304 [07/Jan/2025:18:41:49 +0000] - 22.290 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [07/Jan/2025:18:41:49 +0000] - 14.739 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PF6LNL77.js.map 304 [07/Jan/2025:18:41:49 +0000] - 28.336 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-FDUYSLZ7.js.map 304 [07/Jan/2025:18:41:49 +0000] - 120.079 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [07/Jan/2025:18:41:49 +0000] - 105.268 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [07/Jan/2025:18:41:49 +0000] - 24.812 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/rxjs.js.map 304 [07/Jan/2025:18:41:49 +0000] - 9.152 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [07/Jan/2025:18:41:49 +0000] - 12.366 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common.js.map 304 [07/Jan/2025:18:41:49 +0000] - 7.773 ms localhost
GET /favicon.ico 304 [07/Jan/2025:18:41:49 +0000] - 4.754 ms localhost
GET /services/login.component.css.map 404 [07/Jan/2025:18:41:50 +0000] - 4.478 ms localhost
GET /styles.css.map 200 [07/Jan/2025:18:41:50 +0000] - 6.227 ms localhost
GET / - [07/Jan/2025:18:45:43 +0000] - - ms localhost
GET /login 200 [07/Jan/2025:18:47:31 +0000] - 117.250 ms localhost
GET /@vite/client 304 [07/Jan/2025:18:47:32 +0000] - 97.546 ms localhost
GET /styles.css 200 [07/Jan/2025:18:47:32 +0000] - 14.894 ms localhost
GET /polyfills.js 304 [07/Jan/2025:18:47:32 +0000] - 16.959 ms localhost
GET /main.js 200 [07/Jan/2025:18:47:33 +0000] - 30.409 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [07/Jan/2025:18:47:33 +0000] - 4.664 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [07/Jan/2025:18:47:34 +0000] - 6.165 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-SD63G7YN.js.map 304 [07/Jan/2025:18:47:34 +0000] - 16.300 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-J2M542RS.js.map 304 [07/Jan/2025:18:47:34 +0000] - 26.160 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PLMZ7O3F.js.map 304 [07/Jan/2025:18:47:34 +0000] - 31.936 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PF6LNL77.js.map 304 [07/Jan/2025:18:47:34 +0000] - 29.807 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [07/Jan/2025:18:47:34 +0000] - 59.635 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-FDUYSLZ7.js.map 304 [07/Jan/2025:18:47:34 +0000] - 104.286 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [07/Jan/2025:18:47:34 +0000] - 116.565 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [07/Jan/2025:18:47:34 +0000] - 113.877 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/rxjs.js.map 304 [07/Jan/2025:18:47:34 +0000] - 73.490 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [07/Jan/2025:18:47:34 +0000] - 86.709 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common.js.map 304 [07/Jan/2025:18:47:34 +0000] - 62.645 ms localhost
GET /favicon.ico 304 [07/Jan/2025:18:47:35 +0000] - 7.480 ms localhost
GET /styles.css.map 200 [07/Jan/2025:18:47:35 +0000] - 9.933 ms localhost
GET /login.component.css.map 200 [07/Jan/2025:18:47:35 +0000] - 10.441 ms localhost
GET /login 200 [07/Jan/2025:18:48:00 +0000] - 6.436 ms localhost
GET / - [07/Jan/2025:18:48:00 +0000] - - ms localhost
GET /styles.css 200 [07/Jan/2025:18:48:00 +0000] - 7.125 ms localhost
GET /@vite/client 304 [07/Jan/2025:18:48:00 +0000] - 6.201 ms localhost
GET /polyfills.js 304 [07/Jan/2025:18:48:00 +0000] - 4.681 ms localhost
GET /main.js 200 [07/Jan/2025:18:48:00 +0000] - 17.469 ms localhost
GET /styles.css.map 200 [07/Jan/2025:18:48:00 +0000] - 4.290 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [07/Jan/2025:18:48:00 +0000] - 4.765 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [07/Jan/2025:18:48:00 +0000] - 7.367 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-SD63G7YN.js.map 304 [07/Jan/2025:18:48:00 +0000] - 12.808 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-J2M542RS.js.map 304 [07/Jan/2025:18:48:00 +0000] - 36.395 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_core.js.map 304 [07/Jan/2025:18:48:00 +0000] - 81.321 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-PLMZ7O3F.js.map 304 [07/Jan/2025:18:48:00 +0000] - 137.778 ms localhost
