GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chunk-UWVBNKXZ.js.map 200 [18/Apr/2025:19:28:09 +0000] - 281.511 ms localhost
GET /chunk-KSELMSGV.js 200 [18/Apr/2025:19:28:09 +0000] - 24.217 ms localhost
GET /chunk-NEDMBWF5.js 200 [18/Apr/2025:19:28:09 +0000] - 21.192 ms localhost
GET /chunk-J7PPH75M.js 200 [18/Apr/2025:19:28:09 +0000] - 17.432 ms localhost
GET /chunk-KJ77OHGA.js 200 [18/Apr/2025:19:28:09 +0000] - 24.995 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_router.js.map 200 [18/Apr/2025:19:28:10 +0000] - 39.539 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/chunk-TI4NIV3R.js.map 200 [18/Apr/2025:19:28:10 +0000] - 88.118 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/ngx-socket-io.js.map 200 [18/Apr/2025:19:28:10 +0000] - 105.513 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/@angular_forms.js.map 200 [18/Apr/2025:19:28:10 +0000] - 91.890 ms localhost
GET /@fs/C:/Users/USER/Documents/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.15/frontend/vite/deps/emoji-picker-element.js.map 200 [18/Apr/2025:19:28:10 +0000] - 100.677 ms localhost
GET /login.component.css.map 200 [18/Apr/2025:19:28:10 +0000] - 35.115 ms localhost
GET /favicon.ico 200 [18/Apr/2025:19:28:11 +0000] - 19.242 ms localhost
POST /api/user/login 200 [18/Apr/2025:19:28:17 +0000] - 658.915 ms localhost
GET /chunk-3QULYRM7.js 200 [18/Apr/2025:19:28:18 +0000] - 44.643 ms localhost
