GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-BKIWMXDL.js.map 304 [25/Jan/2025:10:53:41 +0000] - 619.595 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common_http.js.map 304 [25/Jan/2025:10:53:41 +0000] - 235.036 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/rxjs.js.map 304 [25/Jan/2025:10:53:41 +0000] - 233.796 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-66JPAEYR.js.map 304 [25/Jan/2025:10:53:42 +0000] - 539.991 ms localhost
GET /styles.css.map 200 [25/Jan/2025:10:53:42 +0000] - 48.954 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_forms.js.map 304 [25/Jan/2025:10:53:42 +0000] - 561.856 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_router.js.map 304 [25/Jan/2025:10:53:42 +0000] - 717.482 ms localhost
GET /login.component.css.map 200 [25/Jan/2025:10:53:42 +0000] - 182.628 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/ngx-socket-io.js.map 304 [25/Jan/2025:10:53:42 +0000] - 469.096 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_common.js.map 304 [25/Jan/2025:10:53:42 +0000] - 475.669 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/chunk-7MS5FTBZ.js.map 304 [25/Jan/2025:10:53:42 +0000] - 467.751 ms localhost
GET / - [25/Jan/2025:10:57:37 +0000] - - ms localhost
GET /login 200 [25/Jan/2025:12:24:46 +0000] - 1115.923 ms localhost
GET /styles.css 200 [25/Jan/2025:12:24:47 +0000] - 36.827 ms localhost
GET /@vite/client 304 [25/Jan/2025:12:24:47 +0000] - 18.632 ms localhost
GET /main.js 304 [25/Jan/2025:12:24:48 +0000] - 6.129 ms localhost
GET /polyfills.js 304 [25/Jan/2025:12:24:48 +0000] - 15.214 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/node_modules/vite/dist/client/env.mjs 304 [25/Jan/2025:12:24:58 +0000] - 7.030 ms localhost
GET /styles.css.map 200 [25/Jan/2025:12:25:14 +0000] - 22.744 ms localhost
GET /@fs/C:/Users/USER/Desktop/BroCampTasks/Angular_Project/frontend/.angular/cache/18.2.11/frontend/vite/deps/@angular_platform-browser.js.map 304 [25/Jan/2025:12:25:16 +0000] - 185.660 ms localhost
